ElementId,Category,RuleId,RuleName,Severity,TargetField,CheckResult,BusinessImpact,AIUseImpact,FixGuide,AIReadinessImpact,AIReadinessPenalty
ピット-消火水槽-0001,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
ピット-ピット-0002,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
ピット-ELV ピット-0003,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
1FL-ピロティ-0004,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
1FL-ELV-0005,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
2FL-設備バルコニー-0006,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
3FL-設備バルコニー-0007,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
4FL-設備バルコニー-0008,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
5FL-設備バルコニー-0009,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
6FL-設備バルコニー-0010,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
7FL-設備バルコニー-0011,Room,R-102,RoomNumberMissing,High,RoomNumber,NG,部屋の参照・検索・集計が不安定になる,部屋単位の検索やRAGで参照対象を特定しにくくなる,RoomNumberを確認し、必要に応じて部屋番号を入力する,High,15
